Name of Medication,Class,Side Effects,Subclass
citalopram (Celexa),antidepressant,nausea,Selective Serotonin Reuptake Inhibitors (SSRI)
citalopram (Celexa),antidepressant,insomnia,Selective Serotonin Reuptake Inhibitors (SSRI)
citalopram (Celexa),antidepressant,headaches,Selective Serotonin Reuptake Inhibitors (SSRI)
citalopram (Celexa),antidepressant,sexual dysfunction,Selective Serotonin Reuptake Inhibitors (SSRI)
citalopram (Celexa),antidepressant,jitteriness/motor,Selective Serotonin Reuptake Inhibitors (SSRI)
citalopram (Celexa),antidepressant,restlessness,Selective Serotonin Reuptake Inhibitors (SSRI)
citalopram (Celexa),antidepressant,dry mouth,Selective Serotonin Reuptake Inhibitors (SSRI)
citalopram (Celexa),antidepressant,drowsiness,Selective Serotonin Reuptake Inhibitors (SSRI)
fluoxetine (Prozac),antidepressant,nausea,Selective Serotonin Reuptake Inhibitors (SSRI)
fluoxetine (Prozac),antidepressant,insomnia,Selective Serotonin Reuptake Inhibitors (SSRI)
fluoxetine (Prozac),antidepressant,headaches,Selective Serotonin Reuptake Inhibitors (SSRI)
fluoxetine (Prozac),antidepressant,sexual dysfunction,Selective Serotonin Reuptake Inhibitors (SSRI)
fluoxetine (Prozac),antidepressant,jitteriness/motor,Selective Serotonin Reuptake Inhibitors (SSRI)
fluoxetine (Prozac),antidepressant,restlessness,Selective Serotonin Reuptake Inhibitors (SSRI)
fluoxetine (Prozac),antidepressant,dry mouth,Selective Serotonin Reuptake Inhibitors (SSRI)
fluoxetine (Prozac),antidepressant,drowsiness,Selective Serotonin Reuptake Inhibitors (SSRI)
fluvoxamine (Luvox),antidepressant,nausea,Selective Serotonin Reuptake Inhibitors (SSRI)
fluvoxamine (Luvox),antidepressant,insomnia,Selective Serotonin Reuptake Inhibitors (SSRI)
fluvoxamine (Luvox),antidepressant,headaches,Selective Serotonin Reuptake Inhibitors (SSRI)
fluvoxamine (Luvox),antidepressant,sexual dysfunction,Selective Serotonin Reuptake Inhibitors (SSRI)
fluvoxamine (Luvox),antidepressant,jitteriness/motor,Selective Serotonin Reuptake Inhibitors (SSRI)
fluvoxamine (Luvox),antidepressant,restlessness,Selective Serotonin Reuptake Inhibitors (SSRI)
fluvoxamine (Luvox),antidepressant,dry mouth,Selective Serotonin Reuptake Inhibitors (SSRI)
fluvoxamine (Luvox),antidepressant,drowsiness,Selective Serotonin Reuptake Inhibitors (SSRI)
paroxetine (Paxil),antidepressant,nausea,Selective Serotonin Reuptake Inhibitors (SSRI)
paroxetine (Paxil),antidepressant,insomnia,Selective Serotonin Reuptake Inhibitors (SSRI)
paroxetine (Paxil),antidepressant,headaches,Selective Serotonin Reuptake Inhibitors (SSRI)
paroxetine (Paxil),antidepressant,sexual dysfunction,Selective Serotonin Reuptake Inhibitors (SSRI)
paroxetine (Paxil),antidepressant,jitteriness/motor,Selective Serotonin Reuptake Inhibitors (SSRI)
paroxetine (Paxil),antidepressant,restlessness,Selective Serotonin Reuptake Inhibitors (SSRI)
paroxetine (Paxil),antidepressant,dry mouth,Selective Serotonin Reuptake Inhibitors (SSRI)
paroxetine (Paxil),antidepressant,drowsiness,Selective Serotonin Reuptake Inhibitors (SSRI)
sertraline (Zoloft),antidepressant,nausea,Selective Serotonin Reuptake Inhibitors (SSRI)
sertraline (Zoloft),antidepressant,insomnia,Selective Serotonin Reuptake Inhibitors (SSRI)
sertraline (Zoloft),antidepressant,headaches,Selective Serotonin Reuptake Inhibitors (SSRI)
sertraline (Zoloft),antidepressant,sexual dysfunction,Selective Serotonin Reuptake Inhibitors (SSRI)
sertraline (Zoloft),antidepressant,jitteriness/motor,Selective Serotonin Reuptake Inhibitors (SSRI)
sertraline (Zoloft),antidepressant,restlessness,Selective Serotonin Reuptake Inhibitors (SSRI)
sertraline (Zoloft),antidepressant,dry mouth,Selective Serotonin Reuptake Inhibitors (SSRI)
sertraline (Zoloft),antidepressant,drowsiness,Selective Serotonin Reuptake Inhibitors (SSRI)
amitriptyline (Elavil),antidepressant,dry mouth,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
amitriptyline (Elavil),antidepressant,sedation,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
amitriptyline (Elavil),antidepressant,constipation,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
amitriptyline (Elavil),antidepressant,blurred vision,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
amitriptyline (Elavil),antidepressant,dizziness,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
amitriptyline (Elavil),antidepressant,weight gain,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
amitriptyline (Elavil),antidepressant,urinary retention,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
clomipramine (Anafranil) ,antidepressant,dry mouth,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
clomipramine (Anafranil) ,antidepressant,sedation,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
clomipramine (Anafranil) ,antidepressant,constipation,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
clomipramine (Anafranil) ,antidepressant,blurred vision,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
clomipramine (Anafranil) ,antidepressant,dizziness,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
clomipramine (Anafranil) ,antidepressant,weight gain,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
clomipramine (Anafranil) ,antidepressant,urinary retention,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
